SMILES,148_KAG,290_KBA,178_KAA,154_KAN,212_KAL,342_KAI,104_KAF,260_KAF,140_KAC,168_KAK,314_KAF,340_KAH,22_KAI,156_KAE,80_KAD,92_KAM,222_KAV,210_KAF,216_KAA,204_KAM,296_KAW,220_KAH,286_KAM,200_KAR,134_KAC,216_KAN,134_KAH,322_KAK,72_KAI,182_KAD,304_KAQ,140_KAD,268_KAL,192_KAO,284_KAJ,310_KAQ,58_KAF,8_KAI,34_KAS,56_KAS,22_KAJ
c1(cc(c2ncc(n2c1)c1cc(c(c(c1)OC)OC)OC)NC=O)c1cccc(c1)OC,-8.3,-7.6,-6.7,-6.0,-6.4,-6.1,-8.1,-7.4,-6.6,-6.5,-6.6,-6.6,-7.8,-6.8,-6.6,-6.7,-7.2,-8.8,-7.8,-5.9,-8.1,-6.0,-6.8,-6.4,-7.1,-7.4,-7.5,-6.2,-7.5,-7.5,-7.8,-6.3,-7.3,-8.0,-6.4,-7.5,-7.6,-7.1,-6.8,-6.9,-7.6
Cc1n[nH]c(c1N(=O)=O)N1CCCCC1,-5.6,-5.5,-5.3,-5.0,-5.0,-4.9,-5.5,-4.8,-4.7,-4.7,-5.1,-4.8,-5.8,-5.1,-4.5,-4.6,-5.2,-5.6,-5.7,-4.1,-5.7,-4.8,-4.5,-6.0,-5.2,-5.2,-5.7,-4.8,-4.8,-5.9,-5.4,-4.7,-5.3,-6.2,-4.5,-5.8,-4.7,-5.0,-4.8,-5.6,-5.5
N(C(=O)c1ccccc1)(Cc1cc2cccc(C)c2[nH]c1=O)Cc1ccco1,-8.6,-8.3,-6.5,-6.4,-6.2,-6.3,-8.2,-7.5,-6.7,-7.0,-6.6,-7.3,-7.7,-6.9,-6.7,-6.9,-7.4,-9.1,-8.4,-5.7,-9.0,-6.6,-6.9,-6.5,-6.6,-7.4,-8.0,-6.4,-7.9,-7.7,-7.5,-6.6,-8.0,-8.9,-6.4,-8.0,-7.5,-7.0,-6.5,-7.6,-7.5
N1(CC[C@@](CC1)(c1ccccc1)O)[C@H](c1ccccc1)COC,-7.4,-7.0,-5.8,-5.6,-6.2,-5.6,-7.1,-6.4,-6.0,-5.6,-6.2,-6.4,-6.5,-7.0,-5.5,-6.0,-6.4,-7.7,-7.4,-4.8,-8.1,-5.3,-6.0,-5.6,-6.5,-6.2,-7.0,-6.0,-6.4,-7.1,-6.1,-5.5,-7.0,-8.1,-5.7,-7.3,-6.4,-6.3,-5.7,-6.3,-6.8
[C@H](C)(NC1CCCCCC1)Cc1ccc(cc1)OC,-6.7,-6.1,-5.9,-5.0,-5.3,-5.8,-7.0,-5.1,-5.5,-5.3,-5.3,-5.8,-6.1,-6.1,-4.4,-5.3,-5.7,-6.3,-6.5,-5.2,-7.1,-5.4,-5.6,-6.0,-6.1,-6.0,-6.0,-5.4,-5.6,-5.9,-6.5,-5.5,-5.7,-7.2,-4.6,-6.3,-6.2,-5.9,-5.0,-6.2,-5.6
c1(ccc(cc1)Oc1ccc(nc1)OCc1ccccc1)CC[C@@H](C)NC(=O)C,-7.3,-6.7,-6.6,-6.0,-6.8,-6.6,-8.1,-6.8,-7.0,-6.5,-6.9,-6.9,-7.3,-6.5,-5.8,-6.6,-6.6,-8.5,-8.0,-5.5,-8.6,-6.4,-6.6,-6.4,-7.7,-7.9,-7.8,-6.1,-6.9,-8.0,-7.0,-7.0,-6.5,-8.2,-5.3,-7.8,-7.5,-7.5,-6.5,-6.7,-7.4
c1(cccc2[nH]c(nc12)c1ccccc1O)C(=O)O,-7.7,-7.2,-6.8,-5.9,-6.7,-6.9,-7.3,-6.4,-6.0,-6.4,-6.2,-6.2,-7.2,-7.1,-6.0,-6.0,-6.6,-7.8,-7.4,-5.9,-7.5,-6.4,-6.0,-7.8,-6.6,-7.0,-7.6,-6.7,-6.6,-7.3,-6.8,-6.2,-6.5,-8.1,-5.8,-7.8,-6.8,-7.0,-6.8,-7.0,-7.0
c1(c(C)[nH]c(=O)n1C1CCCCC1)c1ccc(cc1)OCCCCC,-7.3,-6.6,-6.2,-5.1,-5.8,-6.1,-7.1,-6.6,-5.8,-5.5,-6.0,-5.9,-6.2,-6.7,-5.3,-6.1,-6.3,-8.0,-7.4,-4.6,-6.9,-5.3,-5.7,-6.4,-6.1,-6.9,-6.8,-5.8,-6.5,-6.4,-6.5,-6.1,-6.3,-7.6,-5.2,-6.3,-5.8,-6.7,-5.4,-6.0,-6.4
n1(c(nc(c1c1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)C(=O)NC1CCCCC1)CC,-8.7,-7.6,-6.4,-6.8,-6.5,-6.3,-7.7,-6.6,-6.7,-6.7,-7.2,-6.7,-7.3,-6.2,-6.6,-6.8,-7.1,-8.0,-7.9,-5.3,-8.9,-6.0,-6.7,-7.1,-6.4,-7.5,-7.8,-6.7,-7.6,-7.6,-7.3,-6.4,-8.2,-9.3,-6.7,-7.1,-7.9,-7.1,-6.8,-7.0,-7.7
n1(c(c(c2c(Br)cccc12)c1ccc[nH]c1=O)C(=O)O)Cc1cc(ncc1)N,-8.6,-7.6,-6.6,-6.5,-6.5,-6.3,-7.7,-7.0,-6.6,-6.9,-7.2,-6.6,-6.9,-7.4,-6.2,-6.9,-6.7,-8.4,-8.5,-6.0,-7.9,-6.2,-6.7,-8.0,-6.9,-6.9,-7.8,-6.2,-8.2,-8.2,-7.6,-7.0,-7.9,-8.5,-6.5,-6.6,-7.8,-6.9,-6.8,-7.7,-7.4
