SMILES,204_KAM,134_KAC,22_KAJ,80_KAD,154_KAN,296_KAW,92_KAM,140_KAC,260_KAF,192_KAO,220_KAH,310_KAQ,104_KAF,268_KAL,304_KAQ,342_KAI,290_KBA,322_KAK,210_KAF,34_KAS,178_KAA,56_KAS,58_KAF,72_KAI,8_KAI,200_KAR,134_KAH,212_KAL,286_KAM,182_KAD,216_KAN,284_KAJ,148_KAG,340_KAH,314_KAF,222_KAV,140_KAD,168_KAK,22_KAI,156_KAE,216_KAA
[C@H](c1ccc(Cl)c(Cl)c1)(CCN1CC[C@@H](CC1)c1cc(F)ccc1[S@@](C)O)CN(C)C(=O)c1cc(cc2ccccc12)C#N,-6.5,-7.1,-9.2,-6.3,-6.0,-8.7,-7.5,-7.0,-8.0,-9.0,-6.8,-8.6,-9.3,-9.6,-8.2,-6.0,-8.6,-7.1,-9.5,-7.5,-8.1,-7.7,-8.7,-8.2,-8.3,-5.6,-9.0,-7.3,-7.3,-9.3,-7.7,-6.9,-8.9,-7.9,-7.9,-6.5,-7.4,-7.6,-8.2,-7.0,-9.4
C(=O)(Nc1cccc(c1)N1CCOCC1)/C=C/c1ccc(c(c1)OC)OC,-5.3,-6.5,-6.9,-6.1,-6.0,-7.8,-6.1,-6.7,-6.6,-8.1,-5.9,-7.5,-7.6,-6.4,-7.0,-6.7,-6.9,-6.0,-7.7,-6.0,-6.4,-6.7,-6.9,-6.8,-7.4,-6.8,-7.4,-6.3,-6.3,-7.5,-7.0,-5.8,-7.2,-6.6,-6.8,-6.4,-6.6,-6.4,-7.0,-6.4,-7.7
O=C(N/N=C/c1ccc(cc1)N(=O)=O)c1cn2c(n1)CCCC2,-5.3,-6.4,-6.3,-5.7,-5.9,-7.6,-5.8,-6.1,-6.2,-8.0,-5.6,-6.9,-7.0,-6.2,-6.5,-6.5,-6.4,-5.7,-7.1,-6.0,-6.3,-6.2,-6.4,-6.4,-7.3,-6.5,-6.7,-6.4,-5.7,-7.0,-6.6,-5.6,-6.9,-6.2,-6.6,-6.2,-6.1,-6.3,-6.8,-6.3,-7.3
[C@H]([C@H]1CCCCC1=O)(c1ccco1)CC(=O)c1ccccc1,-5.2,-6.6,-6.3,-5.7,-5.4,-7.9,-6.5,-5.3,-6.4,-7.9,-5.7,-6.8,-7.7,-6.5,-6.6,-6.1,-7.0,-5.9,-8.1,-5.9,-6.6,-6.6,-6.4,-6.6,-6.4,-6.1,-7.2,-6.5,-5.9,-6.9,-6.7,-5.2,-7.9,-6.1,-6.0,-6.6,-6.0,-5.6,-6.1,-6.6,-7.5
n1(c(nc2c3ccccc3nc2c1O)SCC(=O)N1CCOCC1)CCOC,-4.7,-6.3,-7.1,-5.9,-5.7,-7.4,-6.0,-6.2,-6.6,-7.7,-5.5,-7.5,-6.8,-6.8,-7.4,-5.8,-7.3,-5.7,-7.6,-6.1,-6.1,-6.4,-7.0,-6.8,-7.0,-6.5,-7.1,-5.9,-5.8,-6.9,-6.8,-5.8,-7.5,-6.3,-6.9,-6.6,-5.9,-6.2,-7.5,-6.1,-6.9
[C@H](N1CCc2sccc2C1)(c1ccc(cc1)SC)CNC(=O)CC,-4.9,-6.1,-6.4,-5.3,-5.6,-7.2,-5.3,-5.8,-6.5,-7.4,-5.6,-7.4,-6.4,-6.5,-6.8,-5.8,-6.6,-5.1,-7.3,-5.1,-6.0,-6.6,-6.6,-6.1,-6.1,-5.7,-6.7,-5.7,-5.6,-6.5,-6.2,-5.5,-7.2,-5.7,-6.2,-6.0,-5.2,-5.6,-6.1,-5.9,-7.4
C(c1occ(c1)P(=O)(OCC)OCC)[C@@H](NC(=O)OC(C)(C)C)C(=O)O,-4.4,-5.6,-5.7,-4.7,-4.8,-6.4,-5.0,-5.2,-5.7,-6.5,-5.5,-6.5,-6.2,-5.6,-5.6,-4.9,-5.9,-5.0,-6.3,-4.9,-5.1,-5.8,-6.1,-5.6,-5.6,-5.4,-6.0,-5.6,-4.9,-5.8,-5.7,-4.8,-6.5,-5.1,-5.4,-5.6,-5.1,-5.2,-5.8,-5.6,-5.9
c1(ccccc1Oc1cc(N2CCC2)ncn1)c1ccc(c(c1)F)c1ncc(nc1)N,-6.0,-7.6,-8.1,-6.9,-6.8,-9.4,-7.1,-7.6,-7.7,-9.9,-6.9,-7.9,-8.1,-8.2,-8.6,-7.0,-8.4,-7.3,-9.9,-7.4,-6.8,-7.6,-8.3,-8.1,-7.3,-6.8,-8.7,-7.4,-7.4,-8.4,-8.1,-6.9,-9.4,-7.1,-7.9,-7.5,-7.4,-6.8,-8.5,-7.2,-9.0
N(c1ncc(cc1c1nc(C)nc2[nH]cnc12)CN1CCN(CC1)S(=O)(=O)C)c1ccc(nc1)OC,-5.8,-7.9,-8.9,-7.0,-6.7,-9.5,-6.9,-7.5,-7.4,-9.1,-6.2,-9.5,-8.5,-7.6,-8.3,-5.9,-8.4,-6.6,-9.1,-6.9,-6.4,-7.9,-8.1,-7.9,-7.7,-6.8,-9.0,-7.2,-7.4,-7.8,-8.2,-7.4,-8.7,-7.0,-7.9,-7.2,-7.8,-7.1,-8.4,-7.1,-8.8
c1(c(ssc1=O)c1ccc(Cl)cc1)c1ccc(C)cc1,-5.0,-5.3,-6.4,-5.5,-5.1,-7.2,-6.0,-5.5,-6.3,-7.4,-5.0,-5.4,-6.8,-6.5,-6.3,-5.2,-7.2,-5.2,-7.7,-5.7,-5.4,-6.3,-5.7,-6.3,-5.9,-4.6,-5.8,-5.0,-6.2,-6.2,-6.3,-5.2,-7.1,-6.0,-5.7,-5.8,-5.5,-5.3,-5.4,-6.2,-7.8
N(c1nc(NCCO)nc(N2CCCC2)n1)c1c(cccc1)OCC,-5.5,-6.2,-6.8,-6.0,-5.8,-7.4,-5.9,-6.6,-6.9,-7.5,-5.8,-7.1,-7.4,-7.1,-6.7,-5.7,-7.2,-5.4,-7.6,-6.0,-6.7,-6.4,-6.6,-6.7,-7.1,-5.7,-7.0,-6.3,-6.0,-7.1,-6.2,-5.9,-7.3,-6.4,-6.1,-6.7,-6.3,-6.1,-7.6,-6.7,-7.7
c1ccc2[nH]c(cc2c1)c1cnco1,-4.7,-5.8,-5.5,-5.2,-5.1,-6.1,-4.9,-5.4,-5.7,-7.1,-5.2,-6.3,-6.1,-5.4,-5.5,-6.1,-5.8,-4.7,-6.4,-5.4,-5.7,-5.7,-5.4,-5.5,-5.9,-6.3,-6.2,-5.7,-5.0,-5.9,-5.5,-4.8,-6.3,-5.0,-5.3,-5.6,-5.4,-5.2,-6.1,-5.6,-6.3
C(CN1c2ccccc2CCc2ccc(Cl)cc12)CN(C)S(=O)(=O)c1ccc(cc1)C(F)(F)F,-4.7,-7.9,-6.4,-6.8,-6.1,-9.4,-6.7,-6.7,-6.9,-9.9,-5.9,-7.9,-8.0,-7.9,-8.4,-5.9,-8.3,-5.5,-9.5,-5.8,-7.6,-6.8,-7.2,-7.6,-7.2,-6.3,-8.3,-7.5,-6.3,-9.0,-6.6,-6.2,-9.0,-7.0,-6.9,-6.8,-7.6,-6.0,-7.0,-8.0,-7.8
