SMILES,204_KAM,134_KAC,22_KAJ,80_KAD,154_KAN,296_KAW,92_KAM,140_KAC,260_KAF,192_KAO,220_KAH,310_KAQ,104_KAF,268_KAL,304_KAQ,342_KAI,290_KBA,322_KAK,210_KAF,34_KAS,178_KAA,56_KAS,58_KAF,72_KAI,8_KAI,200_KAR,134_KAH,212_KAL,286_KAM,182_KAD,216_KAN,284_KAJ,148_KAG,340_KAH,314_KAF,222_KAV,140_KAD,168_KAK,22_KAI,156_KAE,216_KAA
c1(cc(cc(c1)N(=O)=O)N(=O)=O)C(=O)NC1CCCC1,-5.1,-6.0,-6.0,-5.1,-5.4,-7.0,-5.5,-5.8,-5.8,-7.3,-5.4,-6.7,-6.4,-5.9,-6.0,-5.6,-6.1,-5.0,-7.2,-5.2,-6.0,-5.8,-6.3,-5.8,-6.4,-6.1,-6.5,-5.8,-5.2,-6.3,-6.2,-5.2,-6.8,-5.4,-5.7,-6.1,-5.8,-5.5,-6.1,-6.1,-6.6
O([C@H](C)c1c(cccc1)c1cc(C)c(cc1)C(=O)O)C[C@@H](O)CNC(C)(C)Cc1ccc(Cl)c(F)c1,-5.5,-7.4,-6.6,-5.9,-5.9,-8.1,-6.6,-6.1,-8.2,-8.5,-5.1,-7.2,-8.2,-7.5,-7.1,-5.8,-8.8,-5.9,-8.4,-6.0,-7.6,-7.7,-7.1,-8.0,-6.9,-6.2,-8.1,-7.8,-6.4,-7.6,-7.5,-5.5,-9.0,-6.4,-6.2,-6.6,-5.8,-6.8,-7.7,-6.5,-8.1
O=C(N(c1nc2c(F)cc(F)cc2s1)Cc1cccnc1)[C@H]1COc2ccccc2O1,-5.9,-7.2,-8.3,-7.2,-6.6,-9.6,-7.3,-8.0,-7.8,-9.6,-7.4,-7.7,-7.5,-8.1,-7.9,-6.2,-8.6,-7.1,-9.1,-7.4,-6.9,-7.7,-7.6,-8.2,-7.6,-6.5,-8.9,-6.6,-7.2,-8.4,-8.3,-7.2,-8.6,-7.7,-7.6,-8.2,-7.6,-7.7,-7.7,-7.1,-8.4
[C@@H]1(CCCN(C1)CCCOc1ccc(cc1)N)N1C(=O)c2c(cc(c(c2)OC)OC)CC1,-6.2,-7.4,-7.2,-6.0,-5.6,-8.2,-6.4,-7.0,-6.8,-8.2,-6.1,-6.9,-7.4,-7.2,-7.0,-6.1,-7.1,-5.5,-8.2,-6.8,-7.1,-6.9,-7.7,-7.1,-6.6,-6.1,-7.3,-6.8,-5.9,-7.5,-7.3,-6.0,-7.7,-6.5,-6.8,-6.5,-6.5,-6.7,-7.7,-7.1,-8.1
c1(ccc2c(c1)c(c(C)n2C)C(=O)C)OC,-4.9,-5.1,-5.6,-4.4,-5.1,-6.0,-4.9,-5.4,-5.2,-7.0,-4.8,-5.9,-6.6,-5.3,-5.9,-5.1,-5.8,-4.6,-6.3,-5.4,-5.5,-5.8,-5.3,-5.3,-5.1,-5.6,-5.8,-5.2,-4.9,-5.9,-5.5,-4.5,-6.5,-4.8,-4.9,-5.2,-5.4,-4.9,-5.9,-5.2,-6.1
n1(c(=O)c2c3c(sc2n(c1=O)Cc1ccccc1)CCCC3)CC(=O)NCCN,-5.5,-6.7,-7.0,-6.3,-6.5,-8.2,-6.5,-7.1,-6.9,-8.8,-6.6,-6.9,-7.2,-7.5,-7.7,-6.4,-7.7,-6.1,-8.3,-6.4,-6.4,-7.4,-7.6,-7.7,-7.4,-5.9,-7.9,-7.1,-6.7,-7.3,-7.1,-6.3,-7.7,-6.4,-6.8,-6.7,-7.1,-6.5,-6.8,-6.7,-7.7
c1(ccc2[nH]c3ncnc(c3c2c1)N1CCCCCC1)C(=O)N,-5.7,-6.7,-7.5,-6.6,-6.8,-7.9,-7.0,-6.5,-7.2,-8.6,-6.0,-6.5,-7.4,-7.5,-7.7,-6.2,-7.5,-6.1,-7.8,-6.8,-6.4,-8.0,-7.2,-7.9,-6.8,-6.7,-7.6,-6.8,-6.3,-8.3,-6.7,-6.3,-8.3,-6.7,-7.1,-6.8,-6.8,-6.7,-7.1,-7.0,-7.7
[C@]1(NC(=O)NC1=O)(C#Cc1cccc(F)c1)CN1C(=O)c2c(ccc(c2)OC)C1,-5.7,-7.6,-8.1,-6.5,-5.9,-9.0,-6.6,-6.8,-7.7,-8.7,-6.2,-8.7,-8.9,-8.3,-7.7,-6.4,-8.1,-6.1,-9.3,-6.2,-6.9,-7.5,-7.8,-7.8,-8.1,-7.1,-7.9,-6.2,-6.4,-8.0,-7.7,-6.4,-8.4,-6.6,-6.5,-7.3,-6.5,-6.7,-7.7,-6.7,-8.3
c1(ccnc(Nc2cnn(c2)CCN2CCOCC2)n1)c1cc(c(cc1)OC1CCOCC1)C#N,-6.0,-7.6,-7.3,-5.9,-6.3,-8.5,-6.3,-7.1,-6.8,-8.7,-6.2,-7.6,-6.8,-6.7,-7.1,-6.4,-6.9,-6.4,-7.9,-6.3,-6.0,-6.6,-7.2,-7.1,-7.2,-5.6,-7.6,-6.5,-6.4,-8.0,-7.4,-6.4,-7.5,-6.9,-7.2,-6.5,-6.2,-6.6,-6.5,-6.7,-8.5
C(C(=O)NCc1ccccc1OC)CCc1cn(c2c1cccc2)CC,-4.7,-6.5,-6.0,-5.5,-5.1,-7.1,-6.4,-6.6,-6.6,-7.8,-6.2,-7.0,-7.5,-6.2,-6.1,-6.1,-6.8,-5.5,-7.7,-5.8,-7.0,-6.7,-6.8,-6.8,-7.4,-6.0,-7.1,-6.9,-5.2,-6.9,-7.2,-5.0,-7.8,-5.9,-5.3,-6.5,-6.5,-4.9,-6.9,-6.7,-7.2
P(=O)(OC(C)C)(OC(C)C)[C@H](c1ccccc1)S,-3.9,-4.5,-5.2,-4.2,-4.7,-6.0,-4.8,-4.6,-5.2,-6.2,-4.4,-5.5,-5.4,-5.3,-5.1,-4.3,-5.8,-4.3,-5.9,-4.5,-5.5,-5.3,-5.1,-5.0,-4.7,-4.8,-5.5,-4.5,-4.6,-5.7,-5.0,-4.1,-5.8,-4.8,-4.8,-4.9,-4.3,-4.2,-4.8,-5.0,-6.1
c1(coc(n1)c1ccc(F)cc1)Cn1c(nc(C)c1)CC,-5.2,-6.3,-6.4,-5.5,-5.9,-7.6,-6.1,-5.8,-6.1,-7.8,-5.7,-6.7,-6.8,-6.6,-6.3,-6.2,-6.7,-5.7,-7.6,-5.6,-6.0,-6.4,-6.2,-6.3,-6.9,-6.2,-6.8,-6.4,-5.8,-7.2,-6.6,-5.3,-7.0,-5.9,-6.1,-6.0,-5.8,-5.8,-7.1,-6.0,-6.9
N1([C@@H](C)C[C@H]2c3c(cccc3OC)CC[C@H]12)CCC,-4.9,-5.4,-6.2,-4.9,-5.4,-6.9,-5.7,-5.2,-5.6,-7.4,-5.2,-6.1,-6.8,-6.0,-6.3,-4.8,-6.3,-5.1,-7.2,-5.7,-6.5,-6.1,-6.1,-6.1,-5.7,-6.3,-6.6,-5.5,-5.3,-7.2,-5.9,-5.1,-7.6,-5.4,-5.7,-5.8,-5.2,-5.4,-6.2,-5.9,-6.7
S([C@H]1CC(=O)N(C1=O)c1ccc(Cl)c(Cl)c1)/C(=N/c1ccccc1)/Nc1ccccc1,-5.5,-7.5,-7.6,-6.2,-5.9,-9.1,-7.0,-6.6,-7.5,-9.1,-5.7,-8.1,-7.5,-8.2,-6.8,-5.5,-8.2,-6.0,-8.6,-6.6,-7.7,-7.9,-6.9,-7.9,-7.1,-5.5,-8.2,-6.7,-7.1,-9.3,-8.5,-7.1,-8.5,-6.9,-7.5,-6.5,-6.4,-6.4,-8.2,-6.7,-8.9
c1(cc(c(c(c1)c1ccc(c(c1)CCC)OCC)O)N)CCC,-5.5,-6.3,-6.4,-5.3,-5.3,-7.4,-6.2,-5.8,-6.1,-7.8,-5.6,-6.4,-7.4,-6.5,-6.6,-5.8,-6.8,-5.6,-7.6,-5.4,-6.5,-6.5,-6.5,-6.2,-6.4,-6.9,-6.4,-6.5,-5.7,-6.8,-6.7,-5.2,-7.2,-5.6,-5.7,-6.7,-6.2,-5.7,-6.4,-6.2,-7.1
n1(c2c(c3cc(ccc13)O)ccc1cc(ccc21)O)CC,-5.7,-6.4,-7.3,-6.1,-6.3,-7.6,-6.6,-6.4,-6.8,-8.9,-6.2,-7.0,-7.3,-6.8,-7.2,-5.7,-7.1,-5.8,-8.6,-6.2,-6.6,-7.4,-7.6,-7.2,-6.6,-7.4,-7.4,-6.9,-6.0,-8.0,-6.7,-5.9,-8.2,-6.8,-7.1,-6.4,-6.0,-6.4,-7.6,-6.7,-7.7
c1(ncc2nc1OC/C=C\COc1ccc(Cl)cc1NC(=O)N2)CN,-5.5,-7.2,-7.6,-6.4,-6.8,-8.3,-6.3,-6.3,-7.4,-9.1,-6.6,-6.5,-7.7,-7.3,-7.7,-6.0,-8.1,-6.4,-9.0,-6.8,-6.4,-7.9,-7.1,-7.7,-7.0,-7.2,-8.0,-6.7,-6.5,-7.7,-6.9,-6.9,-8.4,-6.9,-7.1,-7.3,-6.3,-6.9,-7.4,-6.5,-7.8
N(C(=O)c1c(ccc(Br)c1O)OC)C[C@H]1N(CCC1)CCC,-4.6,-6.0,-6.2,-4.9,-5.2,-6.5,-5.3,-5.4,-5.6,-7.4,-5.3,-6.4,-6.4,-6.1,-5.7,-5.6,-6.2,-5.0,-6.5,-5.5,-5.4,-5.7,-6.2,-6.0,-6.0,-6.5,-6.3,-5.8,-5.2,-6.2,-5.7,-5.3,-6.6,-5.7,-5.8,-5.7,-5.4,-5.8,-6.2,-5.8,-6.4
c1(ccc2[nH]c3c(cccc3c2c1)O)C#N,-5.5,-6.1,-6.5,-5.2,-5.5,-7.0,-5.8,-6.0,-5.8,-7.8,-5.5,-6.7,-7.0,-6.1,-6.6,-6.5,-6.5,-5.2,-7.1,-5.9,-6.1,-6.3,-6.2,-6.0,-6.4,-6.8,-6.7,-5.9,-5.1,-6.9,-6.1,-5.0,-7.0,-5.7,-5.9,-5.9,-6.0,-5.9,-6.3,-6.3,-6.5
c1(ccc(cc1)Oc1nc2ccccc2s1)CCN1CC[C@@H](CC1)C(=O)N,-5.5,-7.7,-7.1,-6.3,-6.2,-8.8,-6.6,-7.4,-7.1,-8.3,-6.5,-7.8,-8.4,-7.7,-7.1,-6.9,-7.1,-6.6,-8.6,-6.2,-7.0,-7.5,-7.8,-7.3,-6.9,-6.9,-8.1,-7.4,-6.8,-8.0,-8.2,-6.2,-7.9,-7.1,-7.2,-7.1,-7.6,-6.8,-8.0,-6.9,-8.5
[C@@H]1(c2ccc(C)cc2CCN1C(=O)c1cccc(Cl)c1)COc1ccc(cc1)OC,-6.0,-6.9,-7.9,-7.1,-6.3,-9.4,-7.8,-7.2,-7.3,-10.0,-6.9,-8.3,-9.2,-8.9,-8.1,-6.1,-8.5,-6.7,-9.5,-6.8,-7.1,-7.4,-7.7,-7.9,-7.5,-6.2,-8.5,-7.4,-7.2,-7.7,-7.7,-6.6,-9.3,-7.2,-7.6,-7.2,-7.0,-6.7,-7.6,-7.0,-8.1
c1(ccccc1n1cc(cn1)CN)C(=O)NCc1cccc(c1)OC,-5.0,-6.6,-6.4,-5.6,-5.4,-7.8,-6.5,-6.7,-6.3,-7.9,-5.9,-7.1,-6.8,-6.7,-6.1,-5.7,-6.8,-6.0,-8.0,-6.0,-6.2,-7.0,-6.7,-6.7,-5.9,-6.3,-7.4,-6.2,-5.9,-7.4,-6.9,-5.5,-7.6,-6.4,-6.6,-5.8,-6.8,-5.8,-7.1,-6.9,-7.7
c1(ccc2ccccc2n1)SC,-5.2,-5.2,-4.9,-4.1,-5.2,-5.5,-4.5,-4.6,-4.8,-6.3,-4.3,-5.4,-5.7,-4.7,-5.3,-4.8,-5.1,-4.0,-5.7,-4.8,-5.2,-5.1,-4.9,-4.7,-4.7,-6.0,-5.2,-4.8,-4.5,-5.6,-4.8,-3.8,-5.6,-4.4,-4.6,-4.7,-4.7,-5.4,-5.2,-4.8,-5.7
c1(cc2c(cc1OC)[C@@H](N(C=O)CC2)Cc1ccc2c(c1)OCO2)OC,-5.4,-6.5,-6.9,-6.1,-6.1,-7.7,-6.7,-6.5,-6.9,-8.1,-6.0,-7.2,-7.5,-6.8,-7.3,-5.8,-7.3,-6.3,-7.8,-6.0,-6.0,-7.1,-7.2,-7.3,-6.7,-6.1,-7.6,-6.5,-6.3,-7.5,-6.6,-6.0,-8.2,-6.5,-6.7,-6.3,-6.2,-6.1,-7.0,-7.2,-7.3
c1(cc2cc(C)ccc2nc1SCCN(C)C)c1c(cccc1)OC,-5.0,-6.3,-6.7,-5.5,-5.6,-8.2,-6.1,-5.8,-6.6,-7.7,-5.5,-7.5,-7.2,-6.8,-6.5,-5.3,-7.3,-5.6,-8.0,-5.7,-6.2,-6.7,-6.4,-6.6,-6.7,-6.5,-6.9,-5.7,-6.1,-7.3,-6.7,-5.6,-7.2,-6.0,-6.4,-6.2,-5.5,-5.8,-6.1,-6.2,-7.3
[C@@H](C)(/C=C(\C)/C=C/C(=O)NO)Oc1ccc(cc1)C(=O)C,-5.1,-6.8,-6.3,-5.5,-6.5,-7.4,-5.9,-6.3,-6.4,-7.8,-5.7,-6.8,-7.3,-6.5,-6.5,-5.8,-6.3,-5.7,-7.2,-5.8,-6.5,-6.4,-6.3,-6.3,-7.2,-5.6,-6.5,-6.4,-5.9,-6.7,-6.6,-5.3,-7.1,-5.9,-6.0,-6.0,-6.5,-5.8,-6.8,-6.3,-7.5
c1(ccc2c(c1)/C(=N\O)/C(=C\1/C(=O)Nc3ccccc13)/N2)OC,-5.8,-7.4,-7.9,-6.2,-6.4,-8.0,-6.4,-6.9,-6.8,-9.0,-7.4,-7.5,-8.3,-7.3,-7.6,-6.3,-7.9,-6.3,-8.5,-6.3,-7.1,-7.1,-7.7,-7.5,-7.3,-8.2,-8.8,-7.5,-6.3,-7.8,-7.3,-6.6,-8.7,-7.6,-7.6,-7.6,-6.3,-6.8,-8.8,-7.3,-7.8
c1(ccc2c(c1)c1c(n2S(=O)(=O)C)C=CN(C1)C1CCCC1)C(=O)N1CC[C@@H](C)CC1,-6.2,-7.7,-8.1,-6.9,-6.6,-9.2,-7.3,-7.4,-8.0,-10.2,-6.8,-8.0,-8.3,-8.2,-8.4,-7.0,-8.7,-7.7,-9.5,-7.5,-7.2,-7.9,-8.7,-8.8,-8.2,-7.2,-8.8,-7.3,-7.6,-8.6,-8.3,-7.4,-9.0,-7.8,-8.3,-8.0,-7.2,-7.6,-9.0,-7.2,-9.1
[C@@H]1(CCN(CC1)CC[C@@H](c1ccccc1)c1ccccc1)N(C(=O)NCc1cccc(C)c1)CC,-5.5,-7.9,-8.0,-6.4,-5.5,-9.0,-6.8,-7.8,-8.2,-9.3,-7.2,-8.5,-7.5,-7.7,-7.2,-5.7,-7.7,-6.5,-9.5,-7.1,-6.7,-7.3,-8.7,-8.1,-7.4,-6.8,-8.0,-6.1,-7.0,-7.6,-8.2,-6.4,-9.3,-7.4,-6.8,-6.6,-6.9,-8.0,-8.0,-7.1,-9.4
[C@@H](C)(C[C@]1(CC[C@](OO1)(O)CC(=O)OC)C)CCCCCC/C=C/c1ccccc1,-4.3,-6.7,-6.2,-5.2,-4.7,-6.7,-5.7,-5.6,-6.3,-7.4,-4.5,-6.7,-7.7,-6.4,-6.6,-4.8,-6.1,-5.5,-7.4,-5.3,-6.3,-6.3,-6.5,-6.6,-7.1,-5.3,-6.1,-5.2,-5.1,-6.5,-6.2,-4.6,-7.0,-5.9,-5.8,-5.5,-5.9,-5.4,-6.4,-6.5,-6.5
c1(c[nH]c2cc(Br)ccc12)c1c(cnc(N)n1)I,-5.4,-6.3,-6.8,-5.9,-6.0,-7.4,-5.8,-6.2,-6.5,-8.4,-6.5,-6.5,-7.1,-6.5,-6.4,-6.2,-6.9,-6.0,-7.2,-6.2,-6.7,-6.5,-6.8,-6.3,-6.2,-7.2,-6.6,-6.0,-5.9,-7.0,-7.2,-5.6,-7.0,-6.2,-6.0,-6.3,-6.2,-6.1,-6.0,-6.2,-7.4
O=C1Nc2c(Cl)cc(Cl)cc2/C/1=N/N=C/c1ccco1,-4.9,-6.1,-6.6,-5.8,-5.7,-7.3,-5.6,-5.8,-5.9,-7.8,-5.9,-6.9,-7.3,-6.6,-6.4,-6.5,-6.7,-5.4,-7.3,-6.2,-5.7,-6.5,-6.2,-6.2,-6.4,-7.2,-6.7,-6.3,-5.5,-6.5,-6.3,-5.7,-7.2,-6.3,-6.6,-6.1,-5.4,-6.0,-6.7,-6.2,-7.0
[C@@H](C(=O)N1Cc2c(cc(c(c2)OC)OC)CC1)(NC(=O)c1ccccc1)Cc1ccccc1,-5.5,-7.7,-8.0,-6.5,-6.9,-9.4,-7.4,-7.5,-7.5,-9.2,-6.4,-7.9,-8.6,-8.2,-7.6,-6.3,-8.7,-7.1,-9.6,-6.8,-6.8,-7.5,-8.2,-7.8,-7.3,-6.8,-8.3,-6.8,-7.3,-8.2,-7.7,-6.7,-8.7,-6.9,-7.6,-7.3,-6.8,-6.9,-8.2,-6.6,-8.1
c1(sc2nc(c3c(c2c1N)CCCC3)N1CCOCC1)C(=O)Nc1ccc(cc1)C(=O)OCC,-5.9,-6.6,-7.1,-6.7,-6.4,-8.7,-6.3,-6.9,-7.1,-9.3,-5.6,-6.4,-7.0,-6.8,-7.4,-7.2,-7.5,-6.7,-7.9,-6.7,-6.4,-7.0,-7.0,-7.4,-7.1,-6.3,-8.0,-6.4,-6.7,-8.6,-7.8,-6.9,-8.4,-7.4,-7.4,-6.7,-6.1,-6.8,-7.1,-6.4,-8.4
c1(ccc(c(c1)C(=O)Nc1ccc(cc1)N(=O)=O)O)C(=O)CCCCCCCCCCC,-4.4,-6.8,-6.0,-5.3,-5.4,-7.7,-5.4,-6.1,-6.0,-7.1,-4.9,-6.6,-7.2,-6.7,-6.6,-6.2,-6.3,-5.2,-7.1,-5.2,-6.0,-6.7,-6.7,-5.9,-7.4,-5.4,-6.6,-5.8,-5.8,-6.6,-7.3,-4.7,-7.1,-5.9,-5.7,-6.5,-6.8,-5.6,-6.8,-6.2,-6.8
c1(c(C)c(cc2c1[C@H](CC2=O)O)O)OC,-4.6,-5.3,-5.7,-4.9,-5.1,-5.8,-4.9,-5.0,-5.0,-6.3,-5.0,-5.7,-5.8,-5.3,-5.9,-5.1,-5.8,-4.6,-6.0,-5.3,-5.4,-6.0,-5.8,-5.3,-5.3,-6.0,-6.0,-5.0,-4.6,-6.2,-5.3,-4.8,-6.4,-4.8,-5.2,-5.2,-5.0,-5.0,-5.9,-5.1,-6.0
N1(CCN(CC1)c1cccc2ccccc12)CCC(=O)c1cc(C)sc1C,-5.3,-7.4,-7.5,-6.2,-6.0,-8.6,-7.0,-6.8,-6.6,-9.1,-6.1,-7.6,-7.9,-8.0,-7.4,-6.5,-7.0,-6.7,-8.6,-7.2,-7.2,-6.8,-7.4,-7.5,-6.8,-6.7,-7.8,-7.2,-7.0,-7.7,-7.5,-5.9,-8.2,-6.5,-7.0,-6.4,-6.8,-6.5,-7.3,-7.0,-8.2
c1(cnn(n1)c1ccccc1)/C=C/C(=O)O,-4.6,-5.6,-5.9,-5.1,-5.8,-6.6,-5.2,-5.4,-5.7,-7.0,-5.4,-6.3,-6.1,-5.6,-6.0,-5.6,-5.8,-4.7,-6.7,-5.3,-5.5,-5.9,-5.9,-5.5,-6.2,-6.4,-5.8,-5.8,-5.1,-6.0,-6.0,-4.8,-6.5,-5.3,-5.3,-5.5,-5.7,-5.2,-5.9,-5.9,-6.3
N(C1CCN(C(=O)C)CC1)(S(=O)(=O)c1ccc(cc1)N(=O)=O)CCCOC(C)C,-4.8,-6.0,-6.5,-5.5,-5.4,-7.9,-5.3,-6.3,-6.1,-7.7,-5.1,-6.7,-6.6,-6.2,-6.4,-5.8,-6.6,-5.4,-7.2,-5.4,-5.4,-6.3,-6.2,-6.2,-6.4,-5.2,-6.7,-5.5,-5.7,-6.6,-6.0,-5.4,-6.9,-5.4,-5.9,-5.8,-5.6,-5.8,-5.6,-6.1,-6.6
[C@H]1(SC2(CCNCC2)c2ccccc12)c1cccc(F)c1,-5.4,-6.4,-7.4,-6.2,-6.0,-8.9,-6.7,-6.6,-6.8,-9.1,-5.6,-6.7,-7.8,-7.4,-7.5,-5.9,-7.9,-6.2,-9.1,-6.3,-7.3,-8.2,-7.0,-7.4,-6.8,-6.4,-7.9,-6.6,-6.5,-8.3,-7.1,-6.1,-8.2,-7.7,-6.7,-6.7,-6.6,-6.2,-6.7,-7.1,-8.7
C(c1cccc(c1)S(=O)(=O)N(C)C)N[C@@H](C)c1ccc(F)cc1,-5.6,-6.7,-6.6,-5.3,-6.3,-7.9,-6.2,-6.0,-6.2,-8.1,-5.8,-6.9,-7.5,-6.7,-6.6,-6.5,-6.9,-6.0,-7.9,-5.9,-6.5,-6.3,-6.8,-6.3,-6.6,-6.2,-7.0,-6.3,-5.7,-7.4,-6.9,-5.2,-7.4,-5.8,-6.2,-6.6,-6.1,-6.0,-6.8,-6.6,-6.7
Cc1ncc(cc1OC[C@@H]1CCN1)C#CC1CC1,-4.9,-5.7,-5.8,-5.2,-5.5,-6.7,-5.3,-5.7,-5.5,-7.4,-5.0,-6.4,-6.6,-5.6,-6.0,-5.4,-6.0,-4.8,-6.8,-5.0,-5.2,-5.6,-5.8,-5.6,-6.2,-5.8,-6.0,-5.7,-5.1,-6.2,-6.0,-4.8,-6.1,-5.3,-5.4,-5.7,-5.6,-5.3,-5.8,-5.7,-6.4
N(C(=O)N[C@H](C)c1ccccn1)Cc1n(cnn1)CC,-4.7,-6.0,-5.8,-5.5,-5.5,-6.6,-5.1,-5.6,-5.8,-7.0,-5.8,-6.9,-6.4,-5.9,-5.8,-5.8,-6.0,-5.2,-6.5,-5.4,-6.9,-6.0,-6.0,-5.7,-6.7,-5.6,-6.0,-6.0,-5.2,-6.2,-6.0,-5.1,-6.6,-5.2,-6.1,-5.8,-5.7,-5.8,-6.5,-5.8,-6.4
N(=C\c1ccccc1N(=O)=O)/n1c(=O)c2ccccc2s1,-5.1,-6.1,-6.5,-5.8,-5.5,-7.9,-5.9,-5.8,-6.3,-8.0,-5.9,-6.6,-7.1,-6.6,-6.5,-6.1,-6.7,-6.1,-7.5,-6.0,-6.2,-6.5,-6.6,-6.3,-6.4,-6.7,-6.9,-6.2,-5.8,-6.6,-6.2,-5.6,-7.3,-5.9,-6.1,-6.3,-5.7,-5.8,-6.8,-6.2,-7.0
N1(CC[C@@H](CC1)c1nnn2cnc3[nH]ccc3c12)Cc1cc[nH]n1,-5.5,-6.8,-7.1,-6.5,-6.2,-8.0,-6.8,-6.5,-7.0,-7.8,-6.3,-7.3,-7.6,-7.2,-7.5,-6.4,-7.1,-6.0,-7.9,-6.5,-6.0,-7.1,-7.3,-7.3,-7.2,-6.4,-7.5,-7.0,-6.4,-7.8,-7.0,-6.4,-8.1,-6.7,-7.2,-6.8,-6.5,-6.8,-7.2,-7.2,-7.9
[C@@H]1(C[C@H]1CN1C=CC(=CC1)N(C)c1ccccc1)CN1C=C[C@@H](C=C1)N(C)c1ccccc1,-5.6,-8.5,-7.2,-6.6,-5.4,-7.6,-5.9,-7.3,-7.1,-9.6,-5.6,-8.4,-8.1,-7.3,-6.8,-6.8,-8.0,-6.3,-9.1,-5.3,-7.8,-6.9,-7.8,-7.9,-7.4,-6.8,-7.4,-7.1,-6.9,-7.6,-8.7,-5.4,-8.2,-7.2,-6.8,-7.4,-6.9,-5.8,-7.6,-6.2,-9.0
c1(nnc(s1)N=C(N)N)c1c(cccc1)[S@@](C)O,-4.8,-5.7,-6.5,-5.4,-6.3,-6.5,-5.3,-5.8,-5.6,-7.0,-5.4,-6.6,-6.4,-6.3,-6.1,-5.7,-6.5,-5.3,-6.7,-5.3,-5.4,-6.6,-6.3,-6.1,-5.6,-6.2,-6.5,-5.6,-5.4,-6.8,-6.0,-5.3,-7.0,-5.3,-5.6,-6.0,-5.5,-6.0,-6.3,-5.9,-6.6
c1(ccc(Cl)c2c1C=C[C@H](C2=O)CN1CCCCC1)OCC,-4.8,-6.1,-6.1,-5.9,-5.6,-7.6,-5.9,-6.0,-5.8,-7.5,-4.9,-6.8,-7.4,-6.4,-6.5,-5.1,-6.8,-5.4,-7.1,-5.5,-6.0,-6.5,-6.4,-6.2,-6.0,-5.4,-6.8,-5.5,-5.6,-6.8,-6.1,-5.5,-7.2,-5.7,-5.9,-5.8,-6.0,-5.7,-5.7,-6.2,-7.3
c1(cccc(c1)CN1CC[C@H](CC1)O)NC(=O)Nc1cccnc1,-5.5,-6.9,-6.9,-5.8,-6.1,-7.8,-6.2,-7.0,-7.3,-8.3,-6.0,-7.6,-7.6,-7.1,-7.2,-6.2,-7.2,-5.8,-7.7,-5.8,-6.9,-7.0,-7.6,-7.0,-7.3,-6.9,-7.2,-6.5,-6.2,-8.0,-7.4,-6.0,-8.0,-7.0,-6.8,-6.4,-6.7,-6.1,-6.9,-7.3,-7.6
C[C@H]1C[C@@H](C)CN(C(=O)c2sc3ccccc3c2Cl)C1,-5.0,-6.5,-6.7,-5.8,-5.8,-7.6,-5.8,-6.1,-6.3,-8.0,-5.9,-7.3,-7.1,-7.1,-6.7,-6.3,-7.3,-5.5,-7.8,-5.9,-6.0,-6.7,-6.6,-6.7,-6.7,-7.2,-7.2,-6.0,-6.4,-7.0,-6.6,-5.8,-7.6,-6.4,-6.6,-6.6,-6.1,-5.9,-6.4,-6.1,-7.4
N(c1nc2c(C)c(C)ccc2cc1C#N)CCN/C(=N/CCCOC)/S,-4.8,-6.0,-6.3,-4.9,-4.9,-6.6,-5.7,-5.0,-6.1,-7.7,-5.6,-6.3,-6.7,-6.1,-6.5,-5.9,-6.0,-4.8,-7.3,-6.2,-6.0,-6.2,-6.5,-5.9,-5.3,-6.2,-6.8,-5.9,-5.3,-6.0,-6.1,-5.1,-7.0,-6.1,-6.0,-5.5,-6.0,-4.9,-7.1,-5.6,-6.5
[C@H]1(C[C@@H]2CN(C[C@@H]2N1C(=O)C)Cc1ccc(C)s1)C(=O)NC,-5.0,-6.2,-6.7,-5.5,-5.6,-7.2,-5.6,-5.6,-5.8,-7.2,-5.0,-6.8,-7.1,-6.3,-6.6,-5.9,-6.7,-5.5,-7.1,-5.8,-5.9,-6.3,-6.5,-6.3,-6.2,-5.7,-6.5,-6.0,-5.8,-6.7,-5.9,-5.9,-7.3,-5.7,-6.3,-6.1,-6.0,-5.4,-6.3,-6.8,-6.5
O=C1C=C(Br)C(=O)N1Cc1ccccc1,-4.4,-6.1,-5.4,-4.3,-5.0,-6.2,-5.1,-4.8,-5.3,-6.8,-4.4,-5.7,-6.0,-5.5,-5.5,-4.7,-5.7,-4.6,-6.4,-4.8,-6.1,-5.6,-5.2,-5.2,-5.2,-6.3,-5.5,-5.2,-5.2,-5.8,-5.3,-4.3,-6.5,-4.8,-5.0,-5.0,-4.9,-5.2,-5.2,-5.4,-6.1
[C@@H](C)(c1ccc(cc1F)c1c(c(Cl)ccc1)C(=O)OC)/N=C(/C1(COC1)NC(=O)c1cc(C)no1)\O,-5.6,-7.0,-7.6,-6.3,-6.5,-9.6,-6.5,-7.0,-7.1,-8.2,-6.0,-8.6,-8.4,-7.4,-7.3,-6.5,-7.5,-7.4,-9.6,-7.4,-6.7,-7.1,-7.6,-7.8,-7.5,-6.2,-7.9,-6.8,-7.5,-8.0,-7.3,-7.0,-8.6,-7.0,-6.8,-7.1,-6.8,-6.7,-7.4,-7.2,-8.9
